,date,energy_demand,time,is_weekend
487,2023-01-06,34091.152,01:00:00,False
491,2023-01-06,33036.887,02:00:00,False
495,2023-01-06,32551.531,03:00:00,False
499,2023-01-06,32708.226,04:00:00,False
503,2023-01-06,33263.634,05:00:00,False
507,2023-01-06,34221.64099999,06:00:00,False
511,2023-01-06,36227.41199999,07:00:00,False
515,2023-01-06,37729.059,08:00:00,False
519,2023-01-06,38229.31799999,09:00:00,False
523,2023-01-06,38379.48999999,10:00:00,False
527,2023-01-06,38232.12399999,11:00:00,False
531,2023-01-06,37917.273,12:00:00,False
535,2023-01-06,38618.23799999,13:00:00,False
539,2023-01-06,39434.82999999,14:00:00,False
543,2023-01-06,40065.83099999,15:00:00,False
547,2023-01-06,40545.12,16:00:00,False
551,2023-01-06,40893.939,17:00:00,False
555,2023-01-06,42077.34899999,18:00:00,False
559,2023-01-06,44223.483,19:00:00,False
563,2023-01-06,43675.48,20:00:00,False
567,2023-01-06,42146.225,21:00:00,False
571,2023-01-06,40096.64699999,22:00:00,False
575,2023-01-06,37540.246,23:00:00,False
579,2023-01-07,35141.36,00:00:00,True
583,2023-01-07,33301.42899999,01:00:00,True
587,2023-01-07,32003.418,02:00:00,True
591,2023-01-07,31286.317,03:00:00,True
595,2023-01-07,31172.76,04:00:00,True
599,2023-01-07,30976.14099999,05:00:00,True
603,2023-01-07,30486.83099999,06:00:00,True
607,2023-01-07,30894.898,07:00:00,True
611,2023-01-07,31702.309,08:00:00,True
615,2023-01-07,32282.111,09:00:00,True
619,2023-01-07,32883.021,10:00:00,True
623,2023-01-07,33282.16699999,11:00:00,True
627,2023-01-07,33426.46099999,12:00:00,True
631,2023-01-07,33506.663,13:00:00,True
635,2023-01-07,33766.65199999,14:00:00,True
639,2023-01-07,34451.837,15:00:00,True
643,2023-01-07,35840.697,16:00:00,True
647,2023-01-07,37709.596,17:00:00,True
651,2023-01-07,40043.21599999,18:00:00,True
655,2023-01-07,42707.407,19:00:00,True
659,2023-01-07,41866.249,20:00:00,True
663,2023-01-07,39955.024,21:00:00,True
667,2023-01-07,37603.519,22:00:00,True
671,2023-01-07,35640.042,23:00:00,True
675,2023-01-08,33580.31099999,00:00:00,True
679,2023-01-08,31831.498,01:00:00,True
683,2023-01-08,30679.45399999,02:00:00,True
687,2023-01-08,29887.572,03:00:00,True
691,2023-01-08,29622.889,04:00:00,True
695,2023-01-08,28949.692,05:00:00,True
699,2023-01-08,27969.676,06:00:00,True
703,2023-01-08,28104.008,07:00:00,True
707,2023-01-08,28535.148,08:00:00,True
711,2023-01-08,28903.19799999,09:00:00,True
715,2023-01-08,29503.98599999,10:00:00,True
719,2023-01-08,30410.74,11:00:00,True
723,2023-01-08,30853.954,12:00:00,True
727,2023-01-08,30729.12499999,13:00:00,True
731,2023-01-08,31223.958,14:00:00,True
735,2023-01-08,32141.22,15:00:00,True
739,2023-01-08,33751.91199999,16:00:00,True
743,2023-01-08,35912.64,17:00:00,True
747,2023-01-08,37984.27899999,18:00:00,True
751,2023-01-08,40451.197,19:00:00,True
755,2023-01-08,40626.802,20:00:00,True
759,2023-01-08,39451.09399999,21:00:00,True
763,2023-01-08,37797.148,22:00:00,True
767,2023-01-08,35683.242,23:00:00,True
771,2023-01-09,33428.96599999,00:00:00,False
775,2023-01-09,31867.54899999,01:00:00,False
779,2023-01-09,30950.40399999,02:00:00,False
783,2023-01-09,30602.52,03:00:00,False
787,2023-01-09,30907.239,04:00:00,False
791,2023-01-09,31664.49899999,05:00:00,False
795,2023-01-09,32977.544,06:00:00,False
799,2023-01-09,35193.71999999,07:00:00,False
803,2023-01-09,37010.671,08:00:00,False
807,2023-01-09,37921.294,09:00:00,False
811,2023-01-09,38122.358,10:00:00,False
815,2023-01-09,38086.45199999,11:00:00,False
819,2023-01-09,37748.05599999,12:00:00,False
823,2023-01-09,38944.015,13:00:00,False
827,2023-01-09,39917.29799999,14:00:00,False
831,2023-01-09,40934.837,15:00:00,False
835,2023-01-09,41978.809,16:00:00,False
839,2023-01-09,41773.03599999,17:00:00,False
843,2023-01-09,42606.51899999,18:00:00,False
847,2023-01-09,45138.623,19:00:00,False
851,2023-01-09,45187.42299999,20:00:00,False
855,2023-01-09,44075.78499999,21:00:00,False
859,2023-01-09,41539.04799999,22:00:00,False
863,2023-01-09,38625.62399999,23:00:00,False
867,2023-01-10,36227.61399999,00:00:00,False
871,2023-01-10,34267.42199999,01:00:00,False
875,2023-01-10,33146.443,02:00:00,False
879,2023-01-10,32667.749,03:00:00,False
883,2023-01-10,32843.11299999,04:00:00,False
887,2023-01-10,33476.135,05:00:00,False
891,2023-01-10,34660.15799999,06:00:00,False
895,2023-01-10,36955.877,07:00:00,False
899,2023-01-10,38295.36099999,08:00:00,False
903,2023-01-10,38707.64699999,09:00:00,False
907,2023-01-10,39485.00699999,10:00:00,False
911,2023-01-10,39461.44499999,11:00:00,False
915,2023-01-10,39390.648,12:00:00,False
919,2023-01-10,40496.63199999,13:00:00,False
923,2023-01-10,41786.176,14:00:00,False
927,2023-01-10,42681.67699999,15:00:00,False
931,2023-01-10,43630.42399999,16:00:00,False
935,2023-01-10,42968.86699999,17:00:00,False
939,2023-01-10,43924.67799999,18:00:00,False
943,2023-01-10,46652.95799999,19:00:00,False
947,2023-01-10,46596.959,20:00:00,False
951,2023-01-10,45546.43599999,21:00:00,False
955,2023-01-10,43232.812,22:00:00,False
959,2023-01-10,40162.795,23:00:00,False
963,2023-01-11,37602.83999999,00:00:00,False
967,2023-01-11,35741.23799999,01:00:00,False
971,2023-01-11,34521.51799999,02:00:00,False
975,2023-01-11,34066.59099999,03:00:00,False
979,2023-01-11,34362.64899999,04:00:00,False
983,2023-01-11,34844.427,05:00:00,False
987,2023-01-11,36044.04599999,06:00:00,False
991,2023-01-11,38274.97999999,07:00:00,False
995,2023-01-11,39944.35999999,08:00:00,False
999,2023-01-11,40518.66399999,09:00:00,False
1003,2023-01-11,40696.13699999,10:00:00,False
1007,2023-01-11,40566.59199999,11:00:00,False
1011,2023-01-11,40466.40499999,12:00:00,False
1015,2023-01-11,41790.435,13:00:00,False
1019,2023-01-11,43277.53199999,14:00:00,False
1023,2023-01-11,44467.067,15:00:00,False
1027,2023-01-11,45159.30599999,16:00:00,False
1031,2023-01-11,44378.95499999,17:00:00,False
1035,2023-01-11,44940.663,18:00:00,False
1039,2023-01-11,47585.359,19:00:00,False
1043,2023-01-11,47363.569,20:00:00,False
1047,2023-01-11,46164.02699999,21:00:00,False
1051,2023-01-11,43816.682,22:00:00,False
1055,2023-01-11,40900.37399999,23:00:00,False
1059,2023-01-12,38392.33699999,00:00:00,False
1063,2023-01-12,36501.18499999,01:00:00,False
1067,2023-01-12,35379.94999999,02:00:00,False
1071,2023-01-12,34864.90499999,03:00:00,False
1075,2023-01-12,34808.91599999,04:00:00,False
1079,2023-01-12,35307.68399999,05:00:00,False
1083,2023-01-12,36358.82699999,06:00:00,False
1087,2023-01-12,38742.73399999,07:00:00,False
1091,2023-01-12,40258.41599999,08:00:00,False
1095,2023-01-12,40841.77799999,09:00:00,False
1099,2023-01-12,41357.288,10:00:00,False
1103,2023-01-12,41389.73399999,11:00:00,False
1107,2023-01-12,41310.90299999,12:00:00,False
1111,2023-01-12,42679.97199999,13:00:00,False
1115,2023-01-12,44142.65,14:00:00,False
1119,2023-01-12,45407.259,15:00:00,False
1123,2023-01-12,46186.601,16:00:00,False
1127,2023-01-12,45357.14799999,17:00:00,False
1131,2023-01-12,45710.219,18:00:00,False
1135,2023-01-12,48722.74299999,19:00:00,False
1139,2023-01-12,48674.14999999,20:00:00,False
1143,2023-01-12,47643.794,21:00:00,False
1147,2023-01-12,45361.312,22:00:00,False
1151,2023-01-12,42485.76799999,23:00:00,False
1155,2023-01-13,39803.01199999,00:00:00,False
1159,2023-01-13,37659.31199999,01:00:00,False
1163,2023-01-13,36294.28299999,02:00:00,False
1167,2023-01-13,35641.86799999,03:00:00,False
1171,2023-01-13,35659.89999999,04:00:00,False
1175,2023-01-13,36031.58999999,05:00:00,False
1179,2023-01-13,37011.63899999,06:00:00,False
1183,2023-01-13,39324.958,07:00:00,False
1187,2023-01-13,41275.606,08:00:00,False
1191,2023-01-13,42106.68999999,09:00:00,False
1195,2023-01-13,42265.195,10:00:00,False
1199,2023-01-13,42093.265,11:00:00,False
1203,2023-01-13,42293.53699999,12:00:00,False
1207,2023-01-13,43727.335,13:00:00,False
1211,2023-01-13,45086.56399999,14:00:00,False
1215,2023-01-13,46088.341,15:00:00,False
1219,2023-01-13,46449.52899999,16:00:00,False
1223,2023-01-13,45788.29799999,17:00:00,False
1227,2023-01-13,46230.328,18:00:00,False
1231,2023-01-13,48349.311,19:00:00,False
1235,2023-01-13,47777.64099999,20:00:00,False
1239,2023-01-13,46622.734,21:00:00,False
1243,2023-01-13,44646.252,22:00:00,False
1247,2023-01-13,42358.76999999,23:00:00,False
1251,2023-01-14,40217.84599999,00:00:00,True
1255,2023-01-14,38152.362,01:00:00,True
1259,2023-01-14,36866.88299999,02:00:00,True
1263,2023-01-14,36143.07899999,03:00:00,True
1267,2023-01-14,35469.682,04:00:00,True
1271,2023-01-14,34890.18799999,05:00:00,True
1275,2023-01-14,34525.46499999,06:00:00,True
1279,2023-01-14,35286.178,07:00:00,True
1283,2023-01-14,36143.499,08:00:00,True
1287,2023-01-14,36434.83299999,09:00:00,True
1291,2023-01-14,36650.134,10:00:00,True
1295,2023-01-14,36816.83199999,11:00:00,True
1299,2023-01-14,36999.79999999,12:00:00,True
1303,2023-01-14,37320.88099999,13:00:00,True
1307,2023-01-14,37867.68099999,14:00:00,True
1311,2023-01-14,38881.89899999,15:00:00,True
1315,2023-01-14,40554.68399999,16:00:00,True
1319,2023-01-14,42145.935,17:00:00,True
1323,2023-01-14,44109.44799999,18:00:00,True
1327,2023-01-14,47317.924,19:00:00,True
1331,2023-01-14,46905.337,20:00:00,True
1335,2023-01-14,45283.78799999,21:00:00,True
1339,2023-01-14,43120.747,22:00:00,True
1343,2023-01-14,41249.90099999,23:00:00,True
1347,2023-01-15,38891.34099999,00:00:00,True
1351,2023-01-15,36999.531,01:00:00,True
1355,2023-01-15,35798.54099999,02:00:00,True
1359,2023-01-15,34937.98799999,03:00:00,True
1363,2023-01-15,34422.55099999,04:00:00,True
1367,2023-01-15,33410.89699999,05:00:00,True
1371,2023-01-15,32148.54999999,06:00:00,True
1375,2023-01-15,31738.577,07:00:00,True
1379,2023-01-15,31516.794,08:00:00,True
1383,2023-01-15,31687.567,09:00:00,True
1387,2023-01-15,32180.832,10:00:00,True
1391,2023-01-15,32779.98099999,11:00:00,True
1395,2023-01-15,33117.82899999,12:00:00,True
1399,2023-01-15,33404.56199999,13:00:00,True
1403,2023-01-15,34235.086,14:00:00,True
1407,2023-01-15,35571.489,15:00:00,True
1411,2023-01-15,37472.12899999,16:00:00,True
1415,2023-01-15,39621.084,17:00:00,True
1419,2023-01-15,41876.231,18:00:00,True
1423,2023-01-15,44602.827,19:00:00,True
1427,2023-01-15,44757.40299999,20:00:00,True
1431,2023-01-15,44163.62699999,21:00:00,True
1435,2023-01-15,43066.50099999,22:00:00,True
1439,2023-01-15,41229.593,23:00:00,True
1443,2023-01-16,39237.939,00:00:00,False
1447,2023-01-16,37677.33399999,01:00:00,False
1451,2023-01-16,36622.17999999,02:00:00,False
1455,2023-01-16,36000.18399999,03:00:00,False
1459,2023-01-16,35998.61399999,04:00:00,False
1463,2023-01-16,36250.521,05:00:00,False
1467,2023-01-16,37384.04,06:00:00,False
1471,2023-01-16,39877.54899999,07:00:00,False
1475,2023-01-16,42233.021,08:00:00,False
1479,2023-01-16,43218.80399999,09:00:00,False
1483,2023-01-16,43768.21,10:00:00,False
1487,2023-01-16,43868.04999999,11:00:00,False
1491,2023-01-16,43939.616,12:00:00,False
1495,2023-01-16,45696.702,13:00:00,False
1499,2023-01-16,47093.153,14:00:00,False
1503,2023-01-16,47933.73999999,15:00:00,False
1507,2023-01-16,48345.729,16:00:00,False
1511,2023-01-16,46800.736,17:00:00,False
1515,2023-01-16,46536.46899999,18:00:00,False
1519,2023-01-16,49228.017,19:00:00,False
1523,2023-01-16,49468.201,20:00:00,False
1527,2023-01-16,49083.172,21:00:00,False
