,name,latitude,longitude,altitude
121,taubate,-23.04166666,-45.52083332,582.26
122,jales,-20.165,-50.59499999,460.44
123,valparaiso,-21.31916666,-50.93027777,381.9
124,jose_bonifacio,-21.08555555,-49.92027777,408.35
125,ariranha,-21.13305554,-48.84055555,525.44
126,ibitinga,-21.85555555,-48.79972221,496.75
127,casa_branca,-21.78055554,-47.07527777,734.15
128,itapira,-22.415,-46.80527777,634.89
129,sao_luiz_do_paraitinga,-23.22833332,-45.41694443,874
130,barra_bonita,-22.4711111,-48.5575,533.68
131,braganca_paulista,-22.94916666,-46.5261111,891
132,barra_do_turvo,-24.96277777,-48.41638888,659.89
133,pradopolis,-21.33833333,-48.11388888,544
134,barretos,-20.55916666,-48.54499999,534.36
135,ituverava,-20.35972222,-47.77527777,610.58
136,barueri,-23.52388888,-46.86944443,776.5
137,dracena,-21.45777777,-51.55222222,383
138,marilia,-22.23527777,-49.965,660
139,bebedouro,-20.94805555,-48.47138888,542
140,bertioga,-23.84472221,-46.14333333,5
141,registro,-24.53305554,-47.86416666,35
142,tupa,-21.92722221,-50.49027777,498
143,cachoeira_paulista,-22.68888888,-45.00555555,586
144,sao_simao,-21.46111111,-47.57944443,620
145,sao_paulo_interlagos,-23.72444443,-46.67749999,771
146,belo_horizonte_cercadinho,-19.97999999,-43.95861111,1199.55
